Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 8457 ms'),1,2026-05-12T04:45:14Z,2026-05-12T04:45:14Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 7165 ms'),1,2026-05-12T04:45:32Z,2026-05-12T04:45:32Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 11006 ms'),1,2026-05-12T04:45:28Z,2026-05-12T04:45:28Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 9907 ms'),1,2026-05-12T04:44:51Z,2026-05-12T04:44:51Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 18634 ms'),1,2026-05-12T04:45:02Z,2026-05-12T04:45:02Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 3287 ms'),1,2026-05-12T04:45:37Z,2026-05-12T04:45:37Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 8196 ms'),1,2026-05-12T04:45:32Z,2026-05-12T04:45:32Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 4309 ms'),1,2026-05-12T04:45:36Z,2026-05-12T04:45:36Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 10796 ms'),1,2026-05-12T04:45:27Z,2026-05-12T04:45:27Z
GET,GET /mod/quiz/view.php?id=63,CatchResponseError('Quiz view quá chậm: 9304 ms'),1,2026-05-12T04:45:31Z,2026-05-12T04:45:31Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 23725 ms'),1,2026-05-12T04:45:21Z,2026-05-12T04:45:21Z
POST,POST /mod/quiz/startattempt.php,CatchResponseError('Start attempt quá chậm: 4749 ms'),1,2026-05-12T04:45:35Z,2026-05-12T04:45:35Z
